group1,group2,meandiff,p-adj,lower,upper,reject
setosa,versicolor,2.798,0.0,2.5942,3.0018,True
setosa,virginica,4.09,0.0,3.8862,4.2938,True
versicolor,virginica,1.292,0.0,1.0882,1.4958,True
